time,open,high,low,close,Volume,Volume MA
2019-07-02T09:00:00-03:00,3851.5,3890,3828,3855.238,484155,366829.75
2019-07-03T09:00:00-03:00,3870,3884,3825,3841.125,363130,365924.75
2019-07-04T09:00:00-03:00,3814.5,3818,3792.5,3801.164,245200,353292.75
2019-07-05T09:00:00-03:00,3810,3845.5,3805,3825.461,291995,351009.25
2019-07-08T09:00:00-03:00,3822.5,3824.5,3806.5,3812.346,181870,344467
2019-07-10T09:00:00-03:00,3793,3797.5,3757,3763.175,439580,353526.5
2019-07-11T09:00:00-03:00,3746,3772,3739.5,3759.418,367200,357039
2019-07-12T09:00:00-03:00,3765,3769,3735.5,3747.873,297205,352139.25
2019-07-15T09:00:00-03:00,3734,3764,3733,3761.582,208670,343741.25
2019-07-16T09:00:00-03:00,3757.5,3776,3757.5,3768.924,275520,337326.5
2019-07-17T09:00:00-03:00,3772,3772,3759,3764.421,254485,333692.25
2019-07-18T09:00:00-03:00,3764,3767,3721.5,3733.444,311375,333518.25
2019-07-19T09:00:00-03:00,3731,3757,3730.5,3749.553,293890,327614.25
2019-07-22T09:00:00-03:00,3746.5,3750.5,3732.5,3737.372,204500,322032
2019-07-23T09:00:00-03:00,3745,3782,3743,3772.972,313840,321205.25
2019-07-24T09:00:00-03:00,3767.5,3779.5,3754,3769.856,269620,313450.75
2019-07-25T09:00:00-03:00,3768,3807,3757,3782.834,381060,313446
2019-07-26T09:00:00-03:00,3780,3795.5,3761,3770.245,309480,309771
2019-07-29T09:00:00-03:00,3785,3801.5,3777.5,3784.797,226625,303480
2019-07-30T09:00:00-03:00,3784.5,3799.5,3776,3789.718,288175,300378.75
2019-07-31T09:00:00-03:00,3791,3832,3757,3814.612,754215,313881.75
2019-08-01T09:00:00-03:00,3834,3870,3820,3852.046,498170,320633.75
2019-08-02T09:00:00-03:00,3860,3901.5,3857,3893.025,461685,331458
2019-08-05T09:00:00-03:00,3935,3987,3922,3967.383,502130,341964.75
2019-08-06T09:00:00-03:00,3950.5,3994,3945,3969.804,419700,353856.25
2019-08-07T09:00:00-03:00,3952,4000,3952,3986.283,465365,355145.5
2019-08-08T09:00:00-03:00,3969.5,3975,3926,3933.341,373265,355448.75
2019-08-09T09:00:00-03:00,3939,3957.5,3930,3950.291,381470,359662
2019-08-12T09:00:00-03:00,4006,4020,3981,3988.263,419280,370192.5
2019-08-13T09:00:00-03:00,3995,4019,3952,3966.326,530805,382956.75
2019-08-14T09:00:00-03:00,4000,4059.5,3993,4044.234,506155,395540.25
2019-08-15T09:00:00-03:00,4022,4050,3986,3997.921,566000,408271.5
2019-08-16T09:00:00-03:00,3985,4013,3981,4004.088,326010,409877.5
2019-08-19T09:00:00-03:00,4001.5,4080,3995.5,4070.133,393135,419309.25
