"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.03.2022","110.828","112.615","113.290","110.500","183,87K","-1,56%"
"11.03.2022","112.588","115.815","115.825","112.145","163,08K","-1,67%"
"10.03.2022","114.495","114.175","114.650","112.765","148,02K","-0,34%"
"09.03.2022","114.889","113.485","115.120","112.670","163,99K","2,38%"
"08.03.2022","112.219","112.855","113.645","111.990","189,52K","0,11%"
"07.03.2022","112.100","115.150","115.670","111.850","167,26K","-3,10%"
"04.03.2022","115.691","115.770","116.185","114.550","157,79K","-0,70%"
"03.03.2022","116.509","116.595","117.135","116.200","109,38K","0,13%"
"02.03.2022","116.352","115.390","116.670","115.140","105,59K","1,80%"
"25.02.2022","114.300","112.580","114.480","111.755","171,44K","1,40%"
"24.02.2022","112.718","110.625","112.865","110.080","274,52K","-0,29%"
"23.02.2022","113.049","114.715","115.105","112.935","180,79K","-1,24%"
"22.02.2022","114.465","113.650","114.800","113.590","167,02K","1,18%"
"21.02.2022","113.131","114.435","114.850","112.970","100,66K","-1,02%"
"18.02.2022","114.299","115.375","115.825","114.070","141,66K","-0,62%"
"17.02.2022","115.015","116.350","116.625","114.820","133,94K","-0,30%"
"16.02.2022","115.364","114.880","115.690","114.760","24,52K","0,42%"
"15.02.2022","114.878","114.600","115.190","113.985","109,57K","0,85%"
"14.02.2022","113.915","113.100","114.300","112.880","160,35K","0,29%"
"11.02.2022","113.582","113.300","114.990","113.105","216,61K","0,12%"
"10.02.2022","113.447","112.600","113.975","112.250","166,20K","0,78%"
"09.02.2022","112.571","112.890","113.370","111.885","161,25K","0,14%"
"08.02.2022","112.410","112.075","112.765","111.060","125,51K","0,16%"
"07.02.2022","112.225","112.385","112.645","111.645","117,04K","-0,16%"
"04.02.2022","112.401","111.995","112.700","110.535","159,49K","0,32%"
"03.02.2022","112.043","111.500","112.760","111.495","164,03K","-0,09%"
"02.02.2022","112.144","114.150","114.300","111.775","149,44K","-1,34%"
"01.02.2022","113.669","112.795","113.800","112.405","128,65K","0,88%"
"31.01.2022","112.681","112.790","113.035","111.575","138,03K","0,34%"
"28.01.2022","112.298","112.340","113.500","111.890","171,33K","-0,63%"
"27.01.2022","113.005","112.360","113.595","112.165","200,96K","0,98%"
"26.01.2022","111.903","111.625","113.265","111.390","251,57K","0,92%"
"25.01.2022","110.884","108.400","111.330","107.625","235,80K","2,11%"
"24.01.2022","108.596","108.925","109.350","107.125","249,72K","-0,77%"
"21.01.2022","109.442","109.445","110.430","108.895","190,19K","-0,26%"
"20.01.2022","109.729","109.505","110.510","108.795","177,37K","0,92%"
"19.01.2022","108.728","107.570","109.320","107.570","157,27K","1,22%"
"18.01.2022","107.418","106.275","107.745","106.230","164,09K","0,27%"
"17.01.2022","107.130","107.695","107.850","106.715","73,21K","-0,54%"
"14.01.2022","107.708","105.990","107.965","105.700","145,70K","1,40%"
"13.01.2022","106.218","106.190","107.010","105.650","164,56K","-0,20%"
