"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.01.2017","64.937","64.270","65.320","64.045","63,65K","0,81%"
"18.01.2017","64.655","64.860","65.230","64.500","56,07K","-0,43%"
"19.01.2017","64.607","64.595","65.050","64.075","70,05K","-0,07%"
"20.01.2017","65.136","64.695","65.240","64.545","61,30K","0,82%"
"23.01.2017","66.336","65.030","66.430","65.000","54,74K","1,84%"
"24.01.2017","66.347","66.495","66.650","66.035","66,68K","0,02%"
"26.01.2017","66.631","67.000","67.100","66.505","52,55K","0,43%"
"27.01.2017","66.480","66.600","66.630","66.300","40,38K","-0,23%"
"30.01.2017","64.594","66.200","66.260","64.450","77,65K","-2,84%"
"31.01.2017","65.000","64.650","65.260","64.535","56,93K","0,63%"
"01.02.2017","65.025","65.200","65.900","64.915","60,09K","0,04%"
"02.02.2017","64.887","64.905","65.425","64.420","66,78K","-0,21%"
"03.02.2017","65.221","64.565","65.630","64.470","60,04K","0,51%"
"06.02.2017","64.138","65.200","65.560","64.065","71,07K","-1,66%"
"07.02.2017","64.400","64.435","65.015","64.070","57,77K","0,41%"
"08.02.2017","64.968","64.500","65.155","63.855","77,08K","0,88%"
"09.02.2017","65.102","65.150","65.450","64.690","56,86K","0,21%"
"10.02.2017","66.263","65.320","66.385","65.180","72,65K","1,78%"
"13.02.2017","67.010","66.410","67.170","66.410","65,08K","1,13%"
"14.02.2017","66.901","67.040","67.165","66.250","70,87K","-0,16%"
"15.02.2017","67.894","67.150","68.000","67.045","17,38K","1,48%"
"16.02.2017","68.905","68.810","69.510","68.680","68,36K","1,49%"
"17.02.2017","68.741","68.540","68.875","68.130","54,60K","-0,24%"
"20.02.2017","69.615","68.915","69.720","68.915","24,90K","1,27%"
"21.02.2017","70.034","69.805","70.140","69.560","53,34K","0,60%"
"22.02.2017","69.540","69.850","69.850","69.215","61,63K","-0,71%"
"23.02.2017","68.296","69.800","70.480","68.150","103,83K","-1,79%"
"24.02.2017","67.383","67.800","68.110","67.250","76,72K","-1,34%"
"01.03.2017","67.859","68.230","68.375","67.680","41,89K","0,71%"
"02.03.2017","66.534","67.520","67.675","66.340","87,03K","-1,95%"
"03.03.2017","67.570","66.680","67.625","66.375","69,90K","1,56%"
"06.03.2017","66.975","67.205","67.630","66.830","52,71K","-0,88%"
"07.03.2017","66.396","66.960","67.340","66.315","53,55K","-0,86%"
"08.03.2017","65.455","66.315","66.500","65.120","82,45K","-1,42%"
"09.03.2017","65.124","65.100","65.745","64.820","91,33K","-0,51%"
"10.03.2017","65.309","65.500","66.430","65.080","75,78K","0,28%"
"13.03.2017","66.128","65.750","66.300","65.630","55,80K","1,25%"
"14.03.2017","65.373","65.750","66.170","65.290","86,98K","-1,14%"
"15.03.2017","66.771","65.895","66.970","65.060","99,71K","2,14%"
"16.03.2017","66.265","67.120","67.205","66.015","66,58K","-0,76%"
"17.03.2017","64.757","66.405","66.675","64.590","114,29K","-2,28%"
"20.03.2017","65.372","64.690","65.635","64.130","87,73K","0,95%"
"21.03.2017","63.363","65.350","65.520","63.160","124,00K","-3,07%"
"22.03.2017","63.858","62.895","64.145","62.650","96,85K","0,78%"
"23.03.2017","63.886","63.790","64.345","63.150","81,91K","0,04%"
"24.03.2017","64.224","63.865","64.385","63.510","66,69K","0,53%"
"27.03.2017","64.635","63.630","64.825","63.355","58,97K","0,64%"
"28.03.2017","64.905","64.755","65.175","64.295","68,60K","0,42%"
"29.03.2017","65.832","64.780","65.975","64.650","60,96K","1,43%"
"30.03.2017","65.473","65.660","66.075","65.290","60,08K","-0,55%"
"31.03.2017","65.237","65.290","65.850","65.040","61,89K","-0,36%"
"03.04.2017","65.484","65.350","65.580","64.950","46,76K","0,38%"
"04.04.2017","65.908","65.250","65.975","65.125","62,92K","0,65%"
"05.04.2017","64.759","66.205","66.330","64.550","95,61K","-1,74%"
"06.04.2017","64.224","64.850","65.070","63.845","97,37K","-0,83%"
"07.04.2017","64.507","64.200","65.315","63.965","91,97K","0,44%"
"10.04.2017","64.621","64.575","65.055","64.085","79,85K","0,18%"
"11.04.2017","64.427","64.555","64.915","63.350","127,57K","-0,30%"
"12.04.2017","64.139","64.220","64.425","63.795","22,05K","-0,45%"
"13.04.2017","63.787","64.750","65.020","63.710","78,10K","-0,55%"
"17.04.2017","65.364","64.050","65.500","63.950","72,55K","2,47%"
"18.04.2017","65.068","65.000","65.660","64.680","69,58K","-0,45%"
"19.04.2017","64.234","65.205","65.510","64.110","77,60K","-1,28%"
"20.04.2017","64.509","64.675","65.080","64.245","73,83K","0,43%"
"24.04.2017","65.286","65.500","65.695","65.135","52,61K","1,20%"
"25.04.2017","65.950","65.500","66.035","64.715","77,79K","1,02%"
"26.04.2017","65.705","65.785","66.315","65.475","67,09K","-0,37%"
"27.04.2017","65.402","65.980","66.165","65.040","60,26K","-0,46%"
"28.04.2017","66.130","65.750","66.265","65.315","61,57K","1,11%"
"02.05.2017","67.555","66.500","67.740","66.320","79,41K","2,15%"
"03.05.2017","66.770","67.450","67.545","66.660","65,94K","-1,16%"
"04.05.2017","65.492","66.795","66.795","65.370","99,46K","-1,91%"
"05.05.2017","66.465","65.355","66.510","65.115","62,38K","1,49%"
"08.05.2017","66.150","66.240","66.800","65.930","52,12K","-0,47%"
"09.05.2017","66.957","66.510","67.230","66.400","65,86K","1,22%"
"10.05.2017","68.030","67.295","68.200","67.170","68,09K","1,60%"
