time,open,high,low,close,Volume,Volume MA
2019-07-02T09:00:00-03:00,102040,102345,100570,101242,193575,154456.75
2019-07-03T09:00:00-03:00,101100,102920,100405,102711,135695,153422.25
2019-07-04T09:00:00-03:00,103100,104750,102795,104303,110090,149085.5
2019-07-05T09:00:00-03:00,104375,104880,103280,104658,117915,147056
2019-07-08T09:00:00-03:00,104515,105370,104390,105137,87295,144137.5
2019-07-10T09:00:00-03:00,106100,107295,105820,106496,146735,142651
2019-07-11T09:00:00-03:00,106850,107145,105330,105726,144180,142104.25
2019-07-12T09:00:00-03:00,105630,106225,104155,104452,156510,141620.25
2019-07-15T09:00:00-03:00,105000,105270,103965,104276,112340,138324.5
2019-07-16T09:00:00-03:00,104780,104965,103775,104269,123135,136984.5
2019-07-17T09:00:00-03:00,104405,104925,104135,104340,113450,136588.25
2019-07-18T09:00:00-03:00,104145,105335,104110,105116,100045,134309.75
2019-07-19T09:00:00-03:00,105495,105550,103660,103892,122900,133229.25
2019-07-22T09:00:00-03:00,104045,104730,103945,104275,99585,131598
2019-07-23T09:00:00-03:00,104615,104900,103805,104098,128220,131140.25
2019-07-24T09:00:00-03:00,104100,104965,104090,104434,120980,127102.5
2019-07-25T09:00:00-03:00,104640,104840,102655,102888,199175,129961.5
2019-07-26T09:00:00-03:00,103370,103630,102465,103314,127000,129254.5
2019-07-29T09:00:00-03:00,103315,103950,102715,103673,78375,127865.75
2019-07-30T09:00:00-03:00,103550,103850,102810,103129,112215,126470.75
2019-07-31T09:00:00-03:00,103375,103615,101080,101967,190600,126322
2019-08-01T09:00:00-03:00,102400,104275,102000,102307,219270,130500.75
2019-08-02T09:00:00-03:00,101610,103360,101435,102814,148200,132406.25
2019-08-05T09:00:00-03:00,101305,101415,99710,100185,205375,136779.25
2019-08-06T09:00:00-03:00,101050,102405,100965,102244,177065,141267.75
2019-08-07T09:00:00-03:00,102550,103100,100505,102982,204880,144175
2019-08-08T09:00:00-03:00,103300,104485,103040,104300,196340,146783
2019-08-09T09:00:00-03:00,103800,104930,103555,103961,146220,146268.5
2019-08-12T09:00:00-03:00,103000,103050,101570,101947,153580,148330.5
2019-08-13T09:00:00-03:00,101350,103840,101200,103349,212960,152821.75
2019-08-14T09:00:00-03:00,102815,103120,100820,101070,185070,156402.75
2019-08-15T09:00:00-03:00,101500,102070,98940,99813,211810,161991
2019-08-16T09:00:00-03:00,100800,101370,99870,100649,199995,165845.75
2019-08-19T09:00:00-03:00,101860,101885,99675,100168,149390,168336
2019-08-20T09:00:00-03:00,100170,100625,98560,99994,155550,169702.5
2019-08-21T09:00:00-03:00,100600,102265,100220,102084,165670,171937
2019-08-22T09:00:00-03:00,101935,102420,100620,100808,116185,167787.5
2019-08-23T09:00:00-03:00,101000,101005,97525,98367,224690,172672
2019-08-26T09:00:00-03:00,98890,99200,95620,96718,187620,178134.25
2019-08-27T09:00:00-03:00,96700,98615,96410,97692,263290,185688
2019-08-28T09:00:00-03:00,97300,99040,96905,98762,147465,183531.25
2019-08-29T09:00:00-03:00,99100,101590,99100,101269,163495,180742.5
2019-08-30T09:00:00-03:00,102000,102340,101360,102221,142565,180460.75
2019-09-02T09:00:00-03:00,102010,102270,101060,101190,75800,173982
2019-09-03T09:00:00-03:00,100870,102100,99905,100208,222695,176263.5
2019-09-04T09:00:00-03:00,101690,101850,100945,101704,119660,172002.5
