Datas,Volume
2022-03-14,5
2022-03-13,1
2022-03-12,4
2022-03-11,18
2022-03-10,24
2022-03-09,32
2022-03-08,18
2022-03-07,22
2022-03-06,2
2022-03-05,8
2022-03-04,11
2022-03-03,18
2022-03-02,16
2022-03-01,10
2022-02-28,6
2022-02-27,3
2022-02-26,5
2022-02-25,28
2022-02-24,38
2022-02-23,36
2022-02-22,43
2022-02-21,7
2022-02-20,1
2022-02-19,2
2022-02-18,16
2022-02-17,30
2022-02-16,25
2022-02-15,25
2022-02-14,22
2022-02-13,3
2022-02-12,9
2022-02-11,23
2022-02-10,26
2022-02-09,33
2022-02-08,23
2022-02-07,17
2022-02-06,5
2022-02-05,4
2022-02-04,17
2022-02-03,30
2022-02-02,29
2022-02-01,16
2022-01-31,17
2022-01-30,2
2022-01-29,5
2022-01-28,14
2022-01-27,18
2022-01-26,15
2022-01-25,14
2022-01-24,14
2022-01-23,2
2022-01-22,1
2022-01-21,12
2022-01-20,8
2022-01-19,10
2022-01-18,10
2022-01-17,8
2022-01-16,2
2022-01-15,1
2022-01-14,10
2022-01-13,6
2022-01-12,11
2022-01-11,7
2022-01-10,11
2022-01-08,2
2022-01-07,8
2022-01-06,11
2022-01-05,12
2022-01-04,10
2022-01-03,6
2022-01-01,1
2021-12-31,10
2021-12-30,12
2021-12-29,9
2021-12-28,10
2021-12-27,3
2021-12-26,2
2021-12-25,3
2021-12-24,10
2021-12-23,12
2021-12-22,6
2021-12-21,13
2021-12-20,21
2021-12-19,3
2021-12-18,5
2021-12-17,25
2021-12-16,34
2021-12-15,22
2021-12-14,30
2021-12-13,14
2021-12-12,6
2021-12-11,3
2021-12-10,12
2021-12-09,24
2021-12-08,27
2021-12-07,32
2021-12-06,10
2021-12-05,1
2021-12-04,2
2021-12-03,10
2021-12-02,27
2021-12-01,28
2021-11-30,22
2021-11-29,16
2021-11-27,6
2021-11-26,12
2021-11-25,28
2021-11-24,32
2021-11-23,37
2021-11-22,20
2021-11-21,9
2021-11-20,4
2021-11-19,12
2021-11-18,15
2021-11-17,31
2021-11-16,21
2021-11-15,8
2021-11-14,10
2021-11-13,5
2021-11-12,11
2021-11-11,21
2021-11-10,23
2021-11-09,26
2021-11-08,24
2021-11-07,1
2021-11-06,5
2021-11-05,24
2021-11-04,24
2021-11-03,19
2021-11-02,2
2021-11-01,6
2021-10-31,3
2021-10-30,3
2021-10-29,22
2021-10-28,29
2021-10-27,26
2021-10-26,31
2021-10-25,19
2021-10-24,3
2021-10-23,2
2021-10-22,22
2021-10-21,30
2021-10-20,45
2021-10-19,36
2021-10-18,22
2021-10-17,2
2021-10-16,2
2021-10-15,24
2021-10-14,23
2021-10-13,23
2021-10-12,2
2021-10-11,6
2021-10-10,2
2021-10-09,5
2021-10-08,20
2021-10-07,32
2021-10-06,34
2021-10-05,27
2021-10-04,11
2021-10-03,4
2021-10-02,4
2021-10-01,19
2021-09-30,23
2021-09-29,25
2021-09-28,29
2021-09-27,17
2021-09-26,5
2021-09-25,3
2021-09-24,23
2021-09-23,24
2021-09-22,41
2021-09-21,36
2021-09-20,16
2021-09-19,8
2021-09-18,6
2021-09-17,24
2021-09-16,28
2021-09-15,35
2021-09-14,26
2021-09-13,14
2021-09-12,6
2021-09-10,18
2021-09-09,24
2021-09-08,22
2021-09-07,22
2021-09-06,14
2021-09-05,5
2021-09-04,1
2021-09-03,18
2021-09-02,25
2021-09-01,37
2021-08-31,40
2021-08-30,24
2021-08-29,1
2021-08-28,4
2021-08-27,18
2021-08-26,32
2021-08-25,41
2021-08-24,28
2021-08-23,25
2021-08-22,5
2021-08-21,4
2021-08-20,22
2021-08-19,24
2021-08-18,22
2021-08-17,23
2021-08-16,17
2021-08-15,2
2021-08-14,7
